,Year,State,AverageScore,Subject,Grade,StudentsEnrolled,TotalFunding,FederalFunding,StateFunding,LocalFunding,TotalExpenditure,DollarsPerStudent,Abbreviation,AvgTeacherSalary,SurplusDeficit
0,2017,Alabama,268.3120202,Mathematics,8,744930.0,7909958,811407,4350594.0,2747957,8021292,10.618390989757426,AL,50391,-111334
1,2017,Alaska,277.0155718,Mathematics,8,132737.0,2504464,350204,1600503.0,553757,2587060,18.86786653306915,AK,68138,-82596
2,2017,Arizona,282.2481453,Mathematics,8,936147.0,8601449,1178196,3446191.0,3977062,8386627,9.188139255907458,AZ,47403,214822
3,2017,Arkansas,273.7599073,Mathematics,8,478996.0,5462279,597260,4137903.0,727116,5460822,11.403600447602903,AR,48304,1457
4,2017,California,276.6382001,Mathematics,8,6195344.0,89109048,7889546,51046506.0,30172996,86828123,14.383228437355537,CA,79128,2280925
5,2017,Colorado,286.2477175,Mathematics,8,885492.0,10383949,697569,4479341.0,5207039,10418460,11.726756424676903,CO,51808,-34511
6,2017,Connecticut,284.1443303,Mathematics,8,496074.0,11074485,474647,4209626.0,6390212,10487033,22.324260090228474,CT,73147,587452
7,2017,Delaware,278.0234989,Mathematics,8,121542.0,2206856,138436,1306037.0,762383,2071076,18.157147323558934,DE,60214,135780
8,2017,District of Columbia,265.7797706,Mathematics,8,48462.0,1520849,167840,0.0,1353009,1562841,31.382299533655235,DC,75692,-41992
9,2017,Florida,279.1204152,Mathematics,8,2801945.0,28996448,3202127,11346682.0,14447639,28900189,10.348685645150065,FL,47267,96259
10,2017,Georgia,281.0354875,Mathematics,8,1732691.0,20373536,1846441,9212433.0,9314662,20123166,11.758320439131962,GA,55532,250370
11,2017,Hawaii,277.3368458,Mathematics,8,181550.0,2844167,252145,2534177.0,57845,2778689,15.666025888185073,HI,56651,65478
12,2017,Idaho,284.3717329,Mathematics,8,279026.0,2396039,235740,1557977.0,602322,2260290,8.58715316852193,ID,47504,135749
13,2017,Illinois,281.6179977,Mathematics,8,2016729.0,35270511,2309037,14471043.0,18490431,34249528,17.488969018643555,IL,64933,1020983
14,2017,Indiana,287.7056395,Mathematics,8,1002135.0,12684323,932489,7939731.0,3812103,11608121,12.657299665214767,IN,54308,1076202
15,2017,Iowa,286.2394182,Mathematics,8,509831.0,6898375,478167,3732337.0,2687871,6800383,13.530709195792332,IA,55647,97992
16,2017,Kansas,285.2835079,Mathematics,8,494062.0,6280387,537064,4016495.0,1726828,6519665,12.711738607705106,KS,49422,-239278
