,Year,State,Subject,Grade,StudentsEnrolled,TotalFunding,FederalFunding,StateFunding,LocalFunding,TotalExpenditure,DollarsPerStudent,Abbreviation,AvgTeacherSalary,SurplusDeficit,PredictedAvgScore18_19
0,2019,Alabama,Mathematics,8,722212,7875277,846549,4466438,2562290,8047588,10.9,AL,50810,-172311,271.95085333057744
1,2019,Alaska,Mathematics,8,132554,3088759,466415,1828286,794058,3486838,23.3,AK,70277,-398079,284.9078845805775
2,2019,Arizona,Mathematics,8,1118346,10896298,1252904,5160784,4482609,10938201,9.74,AZ,49892,-41903,582388.6774158307
3,2019,Arkansas,Mathematics,8,479401,5516816,569896,2776557,2170363,5558874,11.51,AR,51019,-42058,278.29460333057744
4,2019,California,Mathematics,8,6229319,100648397,8893701,58126308,33628388,100270095,16.16,CA,82282,378302,273.88640020557744
5,2019,Colorado,Mathematics,8,911536,11274478,758932,4904309,5611238,12311840,12.37,CO,53301,-1037362,-581821.0725841693
6,2019,Connecticut,Mathematics,8,530612,12035558,436859,5050042,6548657,11509335,22.68,CT,76465,526223,291.1715564555775
7,2019,Delaware,Mathematics,8,140244,2545987,188376,1525446,832165,2173241,18.15,DE,62308,372746,286.1031970805775
8,2019,District of Columbia,Mathematics,8,90754,2885764,191745,0,2694019,3411764,31.8,DC,78477,-526000,263.9391345805775
9,2019,Florida,Mathematics,8,2846857,31074166,3542844,12318413,15212909,32351111,10.92,FL,48395,-1276945,279.85319708057744
10,2019,Georgia,Mathematics,8,1767178,21074119,1749643,9874209,9450267,19860259,11.93,GA,57137,1213860,280.1578845805775
11,2019,Hawaii,Mathematics,8,179363,3107590,217521,2840928,49141,3263362,17.33,HI,59757,-155772,275.44890020557744
12,2019,Idaho,Mathematics,8,307416,2349713,162590,1570656,616467,2657650,7.64,ID,50757,-307937,287.5739002055775
13,2019,Illinois,Mathematics,8,2038575,34168417,1744151,13584357,18839909,35726634,16.76,IL,66600,-1558217,282.8610095805775
14,2019,Indiana,Mathematics,8,1053703,12239050,860931,7970767,3407352,11053888,11.62,IN,50937,1185162,284.5114002055775
15,2019,Iowa,Mathematics,8,515902,6887427,382125,3834961,2670341,6905189,13.35,IA,58140,-17762,289.5250720805775
16,2019,Kansas,Mathematics,8,491764,6694717,485000,4543000,1666717,6751845,13.61,KS,49800,-57128,288.6403064555775
17,2019,Kentucky,Mathematics,8,661742,7878963,824136,4310722,2744105,7737657,11.91,KY,53434,141306,284.2809314555775
18,2019,Louisiana,Mathematics,8,719215,9668201,1170658,3890173,4607370,9742067,13.44,LA,50923,-73866,273.93132208057744
