STATE,YEAR,ENROLL,TOTAL_REVENUE,Funding_Per_Enrollment,FEDERAL_REVENUE,STATE_REVENUE,LOCAL_REVENUE,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,SUPPORT_SERVICES_EXPENDITURE,OTHER_EXPENDITURE,CAPITAL_OUTLAY_EXPENDITURE
Alabama,1993,727716,2827391,3.885,331409,1729295,766687,2833433,1564558,794146,237222,204207
Alaska,1993,121156,1191398,9.834,176150,775829,239419,1126398,494917,433788,36291,135791
Arizona,1993,676297,3427976,5.069,318465,1415407,1694104,3623946,1578889,1000914,164083,680139
Arkansas,1993,311432,1346909,4.325,128196,771079,447634,1376067,782791,386526,68617,97824
California,1993,5129788,28043338,5.467,2151157,17064146,8828035,28110986,15281147,8914559,1608514,1944760
Colorado,1993,539538,3058326,5.668,147793,1242337,1668196,3028305,1537714,954032,92163,318959
Connecticut,1993,471918,4064158,8.612,149204,1433539,2481415,4079943,2302852,1190914,143312,186802
Delaware,1993,104355,683954,6.554,44497,443250,196207,694534,394680,207850,26548,47372
District of Columbia,1993,80937,721151,8.910,73882,0,647269,719440,339266,302281,39819,38074
Florida,1993,1980569,11370156,5.741,947326,5520893,4901937,11425183,5333136,3557043,852220,1424334
Georgia,1993,893557,4716559,5.278,296231,2243580,2176748,4647974,2538712,1323320,260423,439808
Hawaii,1993,177448,1062475,5.988,76183,962375,23917,1063090,580597,304362,95700,82431
Idaho,1993,231632,890835,3.846,72747,547454,270634,899819,499914,260805,41238,81359
Illinois,1993,1856841,10584624,5.700,632724,3467071,6484829,10744695,5520683,3352722,426411,852085
Indiana,1993,958052,5833420,6.089,278090,3005534,2549796,5668599,2862585,1619011,268924,477709
Iowa,1993,493957,2880731,5.832,131444,1299055,1450232,2889377,1522556,818922,114390,196098
Kansas,1993,451469,2386945,5.287,123082,1165178,1098685,2522542,1309958,802965,142268,195674
Kentucky,1993,489281,2381148,4.867,216900,1529326,634922,2283431,1247496,711873,151526,127578
Louisiana,1993,795719,3438321,4.321,397206,1876967,1164148,3427102,1898515,997974,262609,173012
Maine,1993,211511,1368095,6.468,77440,652164,638491,1321846,809278,328664,67864,55490
Maryland,1993,751850,4918010,6.541,252211,1940713,2725086,4898895,2785206,1508203,224147,324925
Massachusetts,1993,862495,6121612,7.098,305113,1924321,3892178,5679261,3237228,1720824,191641,59238
Michigan,1993,1600650,11034174,6.894,594226,3326748,7113200,11430958,5411969,3689748,715410,932700
Minnesota,1993,781566,4862635,6.222,213724,2284106,2364805,5290504,2756415,1327959,466306,512196
Mississippi,1993,329408,1170109,3.552,174870,612301,382938,1167032,652571,318799,89766,87575
Missouri,1993,834636,4196601,5.028,271548,1939230,1985823,4234845,2229886,1250115,227686,399553
Montana,1993,158875,813998,5.124,74386,445532,294080,833435,446245,261677,64200,49720
Nebraska,1993,281354,1625242,5.777,94308,509432,1021502,1642376,972575,424311,57564,141118
Nevada,1993,222846,1148268,5.153,52876,753277,342115,1265367,611914,360827,41799,195478
New Hampshire,1993,177722,1109743,6.244,34680,84342,990721,1091814,611158,322618,34802,42172
New Jersey,1993,653488,6747567,10.325,331924,3104597,3311046,6641624,3676378,2092298,203775,342746
New Mexico,1993,281407,1217194,4.325,154018,897725,165451,1223185,587753,427793,62453,128202
New York,1993,2663637,22688753,8.518,1276362,8848470,12563921,23934282,14029639,6425626,935895,1625848
North Carolina,1993,1112636,5583166,5.018,433602,3388466,1761098,5475174,3037814,1525471,345822,480317
North Dakota,1993,118793,580148,4.884,56254,243783,280111,588983,310940,156042,44647,41585
Ohio,1993,1834239,10841606,5.911,509488,4156070,6176048,10385253,5522474,3653046,451400,588386
Oklahoma,1993,312817,1436505,4.592,99809,802783,533913,1428916,726475,457062,113582,113949
Oregon,1993,509814,3141217,6.161,196584,1180698,1763935,3149126,1712282,1053438,98785,209804
Pennsylvania,1993,1719829,12269422,7.134,695807,4781408,6792207,12809067,6856146,3622113,684867,966827
Rhode Island,1993,138939,919594,6.619,46215,351512,521867,901540,588044,268106,11541,12708
South Carolina,1993,631613,3031112,4.799,277419,1419961,1333732,2994038,1592384,820795,269661,221824
South Dakota,1993,107050,465650,4.350,52787,120851,292012,481665,265549,139963,22308,43632
Tennessee,1993,844668,3268642,3.870,334410,1535027,1399205,3286481,1969619,781510,209586,248037
Texas,1993,3535333,20267205,5.733,1233446,9919561,9114198,18574871,8914245,5150373,971683,2989512
Utah,1993,462323,1638305,3.544,116791,928596,592918,1665011,881924,410867,128758,207312
Vermont,1993,97454,837540,8.594,34179,216778,586583,809853,405876,193543,22698,15655
Virginia,1993,1032842,5918536,5.730,365601,2358711,3194224,5955333,3121277,1837782,303062,488487
Washington,1993,896197,5270961,5.881,284396,3720223,1266342,5791436,2778268,1626508,235224,942214
West Virginia,1993,317719,1832154,5.767,140913,1220263,470978,1829848,1023497,500010,116349,171484
Wisconsin,1993,829085,5357945,6.462,226234,2205644,2926067,5640718,3111910,1629643,193368,500029
Wyoming,1993,100313,615130,6.132,35437,308683,271010,614807,334071,193624,21047,48076
Alabama,1994,730004,2970223,4.069,331823,1850894,787506,3103266,1697593,826442,306977,231508
Alaska,1994,123868,1052282,8.495,134168,668229,249885,1116160,516242,446458,36589,98486
Arizona,1994,708482,3566586,5.034,348847,1478372,1739367,3803379,1652311,1054136,183778,696618
Arkansas,1994,312695,1393287,4.456,132108,810396,450783,1445984,816270,403608,75434,105349
California,1994,4120498,23440845,5.689,2095878,13175550,8169417,23012688,12443864,6754346,1615630,1916061
Colorado,1994,549570,3061865,5.571,165539,1269532,1626794,3113755,1574164,977343,95796,328219
Connecticut,1994,479522,4268860,8.902,142392,1537064,2589404,4132350,2431273,1221662,150749,53083
Delaware,1994,103782,705798,6.801,50572,447430,207796,732323,413915,217782,30320,50805
District of Columbia,1994,80678,735720,9.119,79432,0,656288,769818,351028,332951,63271,22568
Florida,1994,2039884,12315950,6.038,890498,6158417,5267035,12469073,5715125,3849613,898855,1769738
Georgia,1994,1235304,6824191,5.524,449430,3473578,2901183,6597359,3509251,1862815,405376,723316
Hawaii,1994,181212,1133949,6.258,77993,1025813,30143,1146267,615270,322736,93482,114779
Idaho,1994,236774,949999,4.012,77626,576106,296267,974781,538783,273654,44562,99924
Illinois,1994,1875956,11309803,6.029,628532,3697747,6983524,10743708,5727974,3468903,446271,508619
Indiana,1994,963071,6121754,6.356,286351,2754602,3080801,6061435,3003825,1743788,273493,551285
Iowa,1994,497925,2987394,6.000,139312,1339912,1508170,2974072,1551221,858078,120252,195410
Kansas,1994,457744,2700587,5.900,134686,1540727,1025174,2643192,1371720,856673,156331,172340
Kentucky,1994,490069,2491948,5.085,238630,1561340,691978,2392549,1310208,761029,145930,126669
Louisiana,1994,798312,3571864,4.474,437307,1914388,1220169,3539581,1952186,1033282,270613,197625
Maine,1994,211731,1357116,6.410,77393,609841,669882,1338353,799103,325201,72234,73376
Maryland,1994,772638,5141505,6.654,258611,2002382,2880512,5187683,2812922,1673254,254041,387699
Massachusetts,1994,877384,6410757,7.307,312111,2119446,3979200,6391131,3536321,1914124,189810,282757
Michigan,1994,1601845,11762546,7.343,658039,3489815,7614692,12023935,5825127,3912910,803226,877390
Minnesota,1994,802913,5262482,6.554,224106,2822949,2215427,5581140,2876527,1388180,490949,565106
Mississippi,1994,503374,1911579,3.798,296345,1048767,566467,1919812,1072529,515600,148515,159184
Missouri,1994,852324,4488359,5.266,294270,2089445,2104644,4575564,2396531,1349465,245316,443146
Montana,1994,163968,878986,5.361,83029,446392,349565,878084,508299,271711,36336,50333
Nebraska,1994,283962,1710913,6.025,101579,528743,1080591,1769248,1033858,447649,63108,173484
Nevada,1994,235800,1266549,5.371,56664,817216,392669,1344245,654272,406932,44739,184082
New Hampshire,1994,181688,1145147,6.303,37805,89556,1017786,1119762,648513,316069,38919,34260
New Jersey,1994,651554,6957898,10.679,293378,3102722,3561798,6765105,3522248,2430560,268715,320715
New Mexico,1994,286759,1342868,4.683,164101,982237,196530,1223759,622138,391385,63549,129528
New York,1994,2702937,23933662,8.855,1442038,9092275,13399349,25359726,14829280,6782725,992378,1717307
North Carolina,1994,1131662,5648390,4.991,454682,3553217,1640491,5740906,3161072,1629603,362721,490626
North Dakota,1994,118778,603902,5.084,65506,247062,291334,621313,319014,158223,46522,50938
Ohio,1994,1816817,10735756,5.909,537642,4271944,5926170,10780138,5785984,3675789,472696,658754
Oklahoma,1994,316322,1518540,4.801,120788,839113,558639,1529205,765718,473061,116301,129800
Oregon,1994,518425,3088542,5.958,212544,1215471,1660527,3191792,1719357,1068111,110201,223352
Pennsylvania,1994,1720681,13271564,7.713,686113,5132066,7453385,13701725,7100564,3795048,703486,963256
Rhode Island,1994,144918,1012987,6.990,48443,385626,578918,994885,642068,300816,14152,14866
South Carolina,1994,634415,3179542,5.012,285908,1470131,1423503,3156251,1646310,961618,211713,251078
South Dakota,1994,108439,507927,4.684,51846,126591,329490,525289,284638,148152,23351,52745
Tennessee,1994,857014,3535898,4.126,341912,1694595,1499391,3661470,2101003,996094,225590,270608
Texas,1994,3601627,19713604,5.474,1456330,8569649,9687625,19224149,9814470,6093204,936331,1717181
Utah,1994,469811,1792011,3.814,125520,982848,683643,1846448,997141,413388,137271,256177
Vermont,1994,98377,892124,9.068,34989,219927,637208,869710,419793,203059,25011,38902
Virginia,1994,1044721,6125739,5.864,372866,2399644,3353229,6276362,3271356,1883438,314439,587495
Washington,1994,915952,5739012,6.266,327784,3978265,1432963,5968590,2918426,1741684,252127,840257
West Virginia,1994,313750,1854403,5.910,147289,1185501,521613,1843973,1051169,507996,116579,151404
Wisconsin,1994,843747,5682439,6.735,238786,2363863,3079790,5860230,3257526,1689034,193556,504767
Wyoming,1994,100899,674921,6.689,38849,351472,284600,623146,344562,192234,21161,48647
Alabama,1995,727480,3367437,4.629,328957,2161366,877114,3353363,1851700,888983,326956,243365
Alaska,1995,125421,1117068,8.907,123037,710028,284003,1203817,515914,469085,37579,159146
Arizona,1995,735018,3815218,5.191,376437,1669173,1769608,4056279,1772388,1131046,226507,710135
Arkansas,1995,447757,2057550,4.595,197556,1244457,615537,2155067,1211057,598109,119934,160693
California,1995,5299405,29512214,5.569,2612241,15541486,11358487,30097549,16146416,8603751,2181053,2669270
Colorado,1995,639805,3709875,5.798,201341,1577988,1930546,3766191,1896225,1174299,115636,449501
Connecticut,1995,489513,4420632,9.031,147466,1622686,2650480,4252186,2596475,1245242,137005,91833
Delaware,1995,106813,802018,7.509,51682,510473,239863,772669,431433,236288,35495,50074
District of Columbia,1995,80450,700111,8.702,65527,0,634584,708224,336543,301371,38207,32103
