States,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,
United States,"$31,367 ","$33,061 ","$34,015 ","$34,974 ","$35,705 ","$36,757 ","$37,585 ","$38,413 ","$39,346 ","$40,517 ","$41,790 ","$43,378 ","$44,648 ","$45,688 ","$46,542 ","$47,540 ","$49,088 ","$51,142 ","$52,963 ","$54,354 ","$55,225 ","$55,586 ","$55,522 ","$56,065 ","$56,648 ","$57,611 ","$58,479 ","$59,660 ",
Alabama,"$24,828 ","$26,874 ","$26,971 ","$26,953 ","$28,705 ","$31,144 ","$31,313 ","$32,549 ","$32,818 ","$35,820 ","$36,689 ","$37,101 ","$37,183 ","$38,240 ","$38,285 ","$38,186 ","$40,327 ","$43,389 ","$46,604 ","$46,879 ","$47,571 ","$47,803 ","$48,003 ","$47,949 ","$48,720 ","$48,611 ","$48,518 ","$50,391 ",
Alaska,"$43,153 ","$43,427 ","$44,661 ","$46,701 ","$47,512 ","$47,951 ","$49,620 ","$50,647 ","$47,601 ","$46,845 ","$46,462 ","$48,123 ","$49,418 ","$49,685 ","$51,736 ","$52,424 ","$53,322 ","$54,679 ","$56,758 ","$58,395 ","$60,732 ","$62,918 ","$62,425 ","$65,468 ","$65,891 ","$66,755 ","$67,443 ","$68,138 ",
Arizona,"$29,402 ","$30,773 ","$31,176 ","$31,352 ","$31,800 ","$32,574 ","$32,483 ","$33,685 ","$34,411 ","$34,983 ","$36,902 ","$37,167 ","$39,973 ","$40,894 ","$39,541 ","$40,027 ","$43,941 ","$44,700 ","$45,772 ","$46,358 ","$46,952 ","$46,637 ","$45,193 ","$45,264 ","$45,335 ","$47,456 ","$47,218 ","$47,403 ",
Arkansas,"$22,352 ","$23,611 ","$27,070 ","$27,433 ","$28,098 ","$28,934 ","$29,533 ","$30,578 ","$31,837 ","$32,330 ","$33,386 ","$34,641 ","$36,245 ","$38,167 ","$39,314 ","$43,092 ","$43,374 ","$45,590 ","$45,238 ","$45,738 ","$46,045 ","$45,998 ","$46,314 ","$46,631 ","$47,319 ","$47,823 ","$48,218 ","$48,304 ",
California,"$37,998 ","$39,598 ","$39,922 ","$40,035 ","$40,264 ","$41,078 ","$42,259 ","$42,992 ","$44,585 ","$46,129 ","$47,680 ","$52,480 ","$54,348 ","$55,693 ","$56,444 ","$57,604 ","$59,825 ","$63,640 ","$65,808 ","$66,995 ","$67,932 ","$67,871 ","$69,755 ","$69,435 ","$71,396 ","$74,090 ","$77,179 ","$79,128 ",
Colorado,"$30,758 ","$31,819 ","$33,072 ","$33,541 ","$33,826 ","$34,571 ","$35,364 ","$36,271 ","$37,240 ","$38,157 ","$38,163 ","$39,183 ","$40,659 ","$42,680 ","$43,319 ","$43,965 ","$44,456 ","$45,831 ","$47,493 ","$48,485 ","$49,181 ","$49,228 ","$49,049 ","$49,844 ","$49,615 ","$44,421 ","$51,233 ","$51,808 ",
Connecticut,"$40,461 ","$43,808 ","$46,971 ","$48,343 ","$49,769 ","$50,045 ","$50,254 ","$50,426 ","$50,730 ","$51,424 ","$51,780 ","$52,693 ","$53,551 ","$55,367 ","$57,337 ","$57,737 ","$59,304 ","$62,107 ","$63,722 ","$65,830 ","$68,096 ","$69,165 ","$69,465 ","$69,397 ","$70,583 ","$71,709 ","$72,013 ","$73,147 ",
Delaware,"$33,377 ","$35,246 ","$34,548 ","$36,217 ","$37,469 ","$39,076 ","$40,533 ","$41,436 ","$42,439 ","$43,164 ","$44,435 ","$47,047 ","$48,358 ","$49,533 ","$49,669 ","$50,595 ","$54,264 ","$54,680 ","$55,994 ","$56,667 ","$57,080 ","$57,934 ","$58,800 ","$59,679 ","$59,305 ","$59,707 ","$59,960 ","$60,214 ",
District of Columbia,"$38,402 ","$39,497 ","$38,798 ","$38,702 ","$42,543 ","$41,835 ","$43,700 ","$44,834 ","$47,076 ","$47,076 ","$47,076 ","$48,704 ","$47,049 ","$50,763 ","$57,009 ","$58,456 ","$59,000 ","$59,000 ","$60,628 ","$62,557 ","$64,548 ","$66,601 ","$68,720 ","$70,906 ","$73,162 ","$75,490 ","$73,991 ","$75,692 ",
