Year,State,Salary
1990,US,31367
1990,AL,24828
1990,AK,43153
1990,AZ,29402
1990,AR,22352
1990,CA,37998
1990,CO,30758
1990,CT,40461
1990,DE,33377
1990,DC,38402
1990,FL,28803
1990,GA,28006
1990,HI,32047
1990,ID,23861
1990,IL,32794
1990,IN,30902
1990,IA,26747
1990,KS,28744
1990,KY,26292
1990,LA,24300
1990,ME,26881
1990,MD,36319
1990,MA,34712
1990,MI,37072
1990,MN,32190
1990,MS,24292
1990,MO,27094
1990,MT,25081
1990,NE,25522
1990,NV,30590
1990,NH,28986
1990,NJ,35676
1990,NM,24756
1990,NY,38925
1990,NC,27883
1990,ND,23016
1990,OH,31218
1990,OK,23070
1990,OR,30840
1990,PA,33338
1990,RI,36057
1990,SC,27217
1990,SD,21300
1990,TN,27052
1990,TX,27496
1990,UT,23686
1990,VT,29012
1990,VA,30938
1990,WA,30457
1990,WV,22842
1990,WI,31921
1990,WY,28141
1991,US,33061
1991,AL,26874
1991,AK,43427
1991,AZ,30773
1991,AR,23611
1991,CA,39598
1991,CO,31819
1991,CT,43808
1991,DE,35246
1991,DC,39497
1991,FL,30555
1991,GA,28976
1991,HI,32541
1991,ID,25485
1991,IL,34605
1991,IN,32757
1991,IA,27977
1991,KS,29767
1991,KY,29115
1991,LA,26240
1991,ME,28531
1991,MD,38382
1991,MA,36460
1991,MI,39449
1991,MN,33126
1991,MS,24366
1991,MO,27202
1991,MT,26774
1991,NE,26592
1991,NV,32209
1991,NH,31200
1991,NJ,38411
1991,NM,25735
1991,NY,42080
1991,NC,29276
1991,ND,23574
1991,OH,32615
1991,OK,24457
1991,OR,32300
1991,PA,36057
1991,RI,34997
1991,SC,28301
1991,SD,22376
1991,TN,28248
1991,TX,28321
1991,UT,25578
1991,VT,31236
1991,VA,32153
1991,WA,33079
1991,WV,25967
1991,WI,33209
1991,WY,28948
1992,US,34015
1992,AL,26971
1992,AK,44661
1992,AZ,31176
1992,AR,27070
1992,CA,39922
1992,CO,33072
1992,CT,46971
1992,DE,34548
1992,DC,38798
1992,FL,31070
1992,GA,29372
1992,HI,34528
1992,ID,26334
1992,IL,36461
1992,IN,34006
1992,IA,29202
1992,KS,28759
1992,KY,30870
1992,LA,25963
1992,ME,30097
1992,MD,38728
1992,MA,37845
1992,MI,41490
1992,MN,34451
1992,MS,24367
1992,MO,27765
1992,MT,27590
1992,NE,27231
1992,NV,33857
1992,NH,33170
1992,NJ,41027
1992,NM,26239
1992,NY,43335
1992,NC,28791
1992,ND,24495
1992,OH,33212
1992,OK,25339
1992,OR,34100
1992,PA,38715
1992,RI,36417
1992,SC,28068
1992,SD,23291
1992,TN,28621
1992,TX,29041
1992,UT,26339
1992,VT,33646
1992,VA,31764
1992,WA,34823
1992,WV,27366
1992,WI,35227
1992,WY,30425
